code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_clics,nota_media_evaluaciones
0,1,11391,0,0,3,9,2,0,240,0,1,934.0,82.0
0,1,28400,1,6,3,2,1,0,60,0,1,1435.0,66.4
0,1,31604,1,7,2,5,1,0,60,0,1,2158.0,76.0
0,1,32885,1,11,1,5,0,0,60,0,1,1034.0,54.4
0,1,38053,0,10,2,8,1,0,60,0,1,2445.0,68.0
0,1,45462,0,6,3,3,0,0,60,0,1,1492.0,68.0
0,1,45642,1,5,2,9,0,0,120,0,1,1428.0,72.4
0,1,52130,1,0,2,7,0,0,90,0,1,1894.0,71.4
0,1,57506,0,8,1,7,1,0,60,0,1,1319.0,74.0
0,1,58873,1,0,2,2,0,0,60,0,1,1732.0,73.2
0,1,59185,0,0,1,6,1,0,60,0,1,1102.0,78.6
0,1,62155,1,5,3,5,0,0,60,0,1,3388.0,76.0
0,1,63400,0,6,1,4,1,0,60,0,1,2737.0,71.6
0,1,70464,1,11,2,6,1,0,60,0,1,1053.0,55.6
0,1,74372,0,0,2,1,1,0,150,0,0,116.0,48.5
0,1,75091,0,9,2,3,1,0,60,0,1,2992.0,66.0
0,1,77367,0,1,2,3,0,0,60,0,1,680.0,70.4
0,1,91265,0,5,3,0,0,0,60,0,1,1494.0,70.8
0,1,98094,0,10,1,7,1,0,60,0,1,2839.0,60.6
0,1,100893,0,12,2,2,0,0,60,0,1,744.0,68.4
0,1,101781,0,8,1,8,1,0,60,0,1,4104.0,72.6
0,1,102806,0,5,2,3,0,0,60,0,1,1944.0,78.0
0,1,102952,0,3,3,6,0,0,60,0,1,1150.0,76.6
0,1,106577,0,1,1,2,0,0,60,0,1,733.0,53.4
0,1,110175,0,0,3,8,1,0,60,0,1,998.0,63.4
0,1,111717,1,0,3,9,1,0,60,0,1,2343.0,81.0
0,1,113295,0,12,1,6,1,0,60,0,1,3553.0,77.6
0,1,114999,0,12,3,6,1,0,60,0,1,1358.0,72.8
0,1,116541,0,10,3,0,0,0,60,0,1,1886.0,62.4
0,1,116692,0,0,2,7,1,0,60,0,1,1108.0,74.2
0,1,118983,0,1,3,3,0,0,120,0,1,284.0,61.8
0,1,123044,0,8,2,4,1,0,60,0,1,2041.0,71.4
